         34439414 function calls (34116394 primitive calls) in 71.518 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.008    0.008   71.594   71.594 /usr/local/Cellar/python@3.8/3.8.1/Frameworks/Python.framework/Versions/3.8/lib/python3.8/cProfile.py:106(runcall)
        1    0.000    0.000   71.582   71.582 /Users/ediaz/work/src/github.com/lnds/codice/analytics/analyzer.py:29(process_repo_objects)
        1    0.000    0.000   71.578   71.578 /Users/ediaz/work/src/github.com/lnds/codice/analytics/analyzer.py:57(process)
        1    0.002    0.002   71.510   71.510 /Users/ediaz/work/src/github.com/lnds/codice/analytics/analyzer.py:71(__process_branch)
        1    0.010    0.010   51.795   51.795 /Users/ediaz/work/src/github.com/lnds/codice/analytics/analyzer.py:84(__process_commits)
      338    0.073    0.000   51.641    0.153 /Users/ediaz/work/src/github.com/lnds/codice/analytics/analyzer.py:254(__process_commit)
      338    0.083    0.000   41.147    0.122 /Users/ediaz/work/src/github.com/lnds/codice/analytics/analyzer.py:292(__process_files)
     2352    0.089    0.000   23.691    0.010 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/git/cmd.py:542(<lambda>)
     2353    0.488    0.000   23.608    0.010 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/git/cmd.py:940(_call_process)
     2353    0.313    0.000   23.013    0.010 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/git/cmd.py:580(execute)
     1249    0.137    0.000   21.964    0.018 /Users/ediaz/work/src/github.com/lnds/codice/analytics/analyzer.py:435(__process_file_blame)
12315/8214    0.108    0.000   20.317    0.002 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/manager.py:81(manager_method)
     3860    0.065    0.000   15.903    0.004 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/query.py:549(get_or_create)
     1239    0.024    0.000   15.684    0.013 /Users/ediaz/work/src/github.com/lnds/codice/git_interface/gitobjects.py:26(blame)
     1239    1.139    0.001   15.660    0.013 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/git/repo/base.py:779(blame)
     7157    0.103    0.000   15.283    0.002 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/query.py:399(get)
     9285    0.138    0.000   14.783    0.002 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/query.py:1259(_fetch_all)
    27269    0.253    0.000   14.630    0.001 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/query.py:51(__iter__)
    11023    0.196    0.000   14.138    0.001 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/sql/compiler.py:1123(execute_sql)
     1917    0.092    0.000   13.766    0.007 /usr/local/Cellar/python@3.8/3.8.1/Frameworks/Python.framework/Versions/3.8/lib/python3.8/subprocess.py:980(communicate)
     1917    0.267    0.000   13.668    0.007 /usr/local/Cellar/python@3.8/3.8.1/Frameworks/Python.framework/Versions/3.8/lib/python3.8/subprocess.py:1813(_communicate)
     4481    0.074    0.000   12.805    0.003 /usr/local/Cellar/python@3.8/3.8.1/Frameworks/Python.framework/Versions/3.8/lib/python3.8/selectors.py:402(select)
     4481   12.724    0.003   12.724    0.003 {method 'poll' of 'select.poll' objects}
        1    0.053    0.053   10.731   10.731 /Users/ediaz/work/src/github.com/lnds/codice/analytics/analyzer.py:94(__process_fileknowledge)
949995/895828    0.146    0.000   10.233    0.000 {built-in method builtins.len}
     7157    0.013    0.000   10.092    0.001 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/query.py:257(__len__)
     1372    0.078    0.000    9.257    0.007 /Users/ediaz/work/src/github.com/lnds/codice/analytics/analyzer.py:320(__process_file)
        1    0.014    0.014    8.929    8.929 /Users/ediaz/work/src/github.com/lnds/codice/analytics/analyzer.py:212(__process_blames)
      676    0.043    0.000    8.586    0.013 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/git/objects/commit.py:231(stats)
     2353    0.714    0.000    8.157    0.003 /usr/local/Cellar/python@3.8/3.8.1/Frameworks/Python.framework/Versions/3.8/lib/python3.8/subprocess.py:732(__init__)
